dominant_topic,document_id,document_score
1,4251,0.3548
0,4256,0.7506
7,4259,0.5005
4,4261,0.3757
7,4262,0.5773
8,4263,0.8155
12,4267,0.6008
10,4268,0.3995
12,4269,0.4043
14,4270,0.5583
1,4271,1.0
9,4280,0.4498
3,4281,0.3929
11,4284,0.1784
5,4289,0.512
12,4290,1.0
14,4296,0.8011
8,4297,0.0
2,4298,0.4934
14,4299,0.5247
8,4304,0.6366
14,4305,0.0
5,4309,0.8158
8,4311,0.5744
1,4312,0.4452
8,4320,0.4553
10,4322,0.819
11,4323,0.5276
4,4326,0.4097
9,4327,0.5146
4,4328,0.4257
3,4331,0.4079
9,4334,0.3951
14,4335,0.0
3,4336,0.3257
3,4338,0.3262
7,4341,0.3702
12,4346,0.3907
7,4347,0.6752
11,4350,0.371
12,4354,1.0
10,4358,0.5502
11,4369,0.0
9,4370,1.0
1,4371,0.4511
9,4372,1.0
9,4374,0.0
1,4375,0.5267
10,4377,0.4269
8,4379,0.6121
1,4380,0.423
7,4385,0.5352
9,4393,1.0
14,4402,0.5985
10,4412,0.6041
9,4418,0.4498
9,4422,0.0
1,4429,0.3321
14,4430,1.0
7,4431,0.5384
9,4439,0.5595
10,4444,1.0
2,4446,0.9301
1,4447,0.4826
11,4448,0.3148
9,4449,0.0
14,4462,0.4813
10,4464,0.4655
9,4465,0.0
3,4466,0.441
10,4468,0.0
7,4470,1.0
10,4471,0.4709
13,4477,1.0
8,4478,0.6628
1,4483,0.2351
9,4486,0.6088
7,4490,0.8174
1,4491,0.4153
9,4497,1.0
0,4499,1.0
11,4502,1.0
10,4503,1.0
8,4504,0.5962
2,4505,0.5436
9,4506,0.27
4,4507,0.2752
2,4508,0.8203
11,4509,0.715
14,4510,0.6014
8,4512,0.0
11,4518,0.5755
9,4520,1.0
2,4523,0.6412
5,4525,1.0
9,4531,0.4321
6,4533,1.0
9,4534,0.0
11,4542,1.0
1,4545,0.4554
10,4547,0.4183
7,4548,0.5223
14,4549,0.6784
9,4550,0.5218
2,4552,0.487
3,4554,0.6242
12,4555,0.4488
8,4567,0.0
10,4569,0.2318
14,4572,0.325
0,4574,1.0
7,4576,0.6211
4,4581,1.0
9,4589,0.0
8,4591,0.4792
1,4594,0.4204
14,4599,1.0
3,4601,0.6891
12,4608,0.4264
9,4613,1.0
4,4617,1.0
8,4620,1.0
9,4621,1.0
4,4630,0.3558
0,4632,0.0
4,4633,1.0
10,4634,0.8228
1,4637,0.4793
8,4642,0.8044
4,4649,0.6453
9,4656,0.0
10,4659,0.3035
8,4660,0.4123
7,4666,0.5534
4,4667,0.4804
9,4668,1.0
10,4670,0.4022
14,4677,0.0
9,4686,0.0
10,4687,0.4283
4,4688,0.0
4,4692,0.2438
8,4694,0.3709
4,4697,0.0
0,4698,0.5477
8,4699,1.0
0,4702,0.788
10,4704,0.4186
4,4705,1.0
9,4708,0.571
1,4711,0.7373
9,4725,0.5018
7,4729,0.629
12,4737,1.0
9,4743,0.4498
10,4744,0.6463
9,4747,1.0
3,4759,0.0
13,4761,0.6515
8,4762,0.2646
11,4776,0.0
3,4777,0.6831
4,4778,0.4918
0,4783,0.3579
10,4785,0.0
14,4795,0.6573
2,4802,1.0
2,4803,0.8958
0,4814,0.3115
2,4817,0.7567
10,4819,0.4942
9,4820,1.0
7,4824,1.0
10,4830,0.4635
1,4839,0.6401
9,4841,0.0
0,4842,1.0
2,4843,0.7457
12,4846,1.0
10,4848,1.0
14,4858,1.0
7,4864,1.0
