dominant_topic,document_id,document_score
0,3203,0.0
3,3204,0.6357
0,3205,0.5221
0,3209,0.5596
0,3210,0.7731
4,3216,0.6635
0,3218,0.5764
3,3222,0.8172
0,3224,0.0
2,3227,0.3896
2,3228,1.0
0,3229,1.0
2,3237,1.0
4,3238,0.9032
0,3239,0.0
1,3243,0.0
4,3250,0.5396
2,3251,0.494
4,3252,1.0
4,3253,0.0
4,3261,0.4989
4,3263,1.0
4,3264,0.7649
1,3266,0.6882
4,3269,0.0
0,3270,1.0
0,3273,0.0
0,3274,1.0
2,3276,0.6045
0,3280,0.0
4,3284,0.4958
0,3285,1.0
0,3290,1.0
1,3293,0.0
0,3298,1.0
3,3299,0.4347
1,3300,0.0
1,3307,0.0
0,3309,0.8277
3,3310,0.6669
1,3313,1.0
0,3314,0.6544
2,3316,0.6066
0,3319,1.0
3,3320,0.9125
1,3321,1.0
3,3323,0.6618
0,3327,0.5321
2,3328,0.8938
0,3333,0.0
0,3334,1.0
2,3346,0.744
3,3347,0.7275
0,3348,0.5285
2,3349,1.0
1,3350,0.7909
4,3352,0.5196
1,3354,0.0
0,3357,1.0
0,3361,1.0
1,3362,0.0
1,3364,0.0
1,3365,0.0
0,3369,0.502
1,3370,1.0
4,3372,0.7741
1,3374,1.0
0,3375,0.0
0,3378,0.0
4,3383,0.4044
0,3388,0.7218
1,3393,0.0
2,3394,0.8054
2,3395,1.0
1,3396,1.0
0,3399,1.0
4,3400,0.3457
1,3404,1.0
0,3407,0.6834
0,3409,0.9045
0,3413,0.5714
1,3414,0.7382
4,3415,0.5106
0,3418,0.4869
1,3425,0.5649
1,3426,0.0
1,3427,0.5148
4,3429,0.9047
0,3430,0.4875
0,3433,0.8842
0,3439,1.0
3,3443,0.9164
4,3444,0.8635
1,3445,0.0
2,3447,0.4332
4,3448,0.0
1,3453,1.0
1,3454,0.6926
4,3462,0.8294
1,3464,1.0
0,3494,1.0
4,3498,0.5232
3,3501,1.0
1,3506,0.0
0,3507,0.0
3,3511,0.5892
1,3520,0.0
4,3532,1.0
0,3533,0.7062
3,3539,0.7011
3,3541,0.8309
4,3544,0.6903
2,3545,0.7798
1,3546,0.0
1,3550,1.0
1,3552,0.0
2,3554,0.5397
1,3556,1.0
4,3560,0.6104
1,3561,0.607
0,3564,0.0
0,3570,0.7535
1,3573,1.0
0,3575,0.4216
0,3580,1.0
0,3582,0.0
0,3589,0.2998
0,3590,0.3467
2,3597,1.0
1,3601,1.0
0,3604,1.0
4,3608,0.4983
0,3611,0.0
0,3613,0.0
4,3630,0.6838
0,3633,0.6638
4,3636,0.7599
0,3641,0.6012
1,3643,1.0
4,3651,0.57
4,3652,0.6505
1,3654,0.5865
4,3660,1.0
0,3667,1.0
2,3668,0.8239
1,3669,1.0
4,3678,0.5346
1,3685,0.5027
0,3688,0.5016
0,3693,1.0
1,3695,0.5075
0,3699,0.0
3,3708,0.7175
4,3715,1.0
4,3717,0.5333
0,3725,1.0
4,3729,0.6664
4,3733,0.4909
0,3737,1.0
1,3739,0.0
1,3741,1.0
4,3746,0.5423
4,3748,1.0
0,3752,1.0
0,3757,1.0
0,3758,0.6633
4,3759,0.5907
0,3761,0.0
1,3770,0.7508
1,3771,0.0
4,3790,0.8006
0,3793,0.3542
4,3798,0.6626
0,3808,0.4468
4,3810,1.0
4,3819,0.5967
0,3820,1.0
2,3821,0.6979
0,3824,1.0
1,3833,1.0
0,3834,0.5485
2,3842,0.4919
1,3843,0.0
0,3850,0.0
